Weighted Pixel 0,Weighted Pixel 1,Weighted Pixel 2,Weighted Pixel 3,Weighted Pixel 4,Time
171.2403423820563,159.60100236401226,166.17310507862913,182.74992679556425,172.2356233797381,330.0
157.17310507862913,162.41344746068543,165.58655253931457,170.82689492137087,164.0,330.5
150.3270413302424,174.84606374838677,177.25007320443578,194.21144273266088,172.36537898427417,331.0
164.31731050786289,163.41344746068543,160.91831287187517,172.447066112399,166.90386304717748,331.5
180.35092915957648,155.22117355504042,147.89914404485927,184.48068476411257,191.04806847641126,332.0
166.62489019334635,146.50014640887153,178.81244509667317,190.37009798659238,162.69242031451657,332.5
149.78855726733906,152.65378984274173,148.04334947409305,171.87496339778212,177.639340018044,333.0
142.9952809976818,148.30286068316522,159.13948642691557,187.52875324052383,174.03361865171357,333.5
154.26452302913344,178.29312986078574,161.23090437741988,181.46623493941487,164.745207793246,334.0
151.83662574375032,154.30286068316522,161.18755490332683,185.65378984274173,182.0191688270159,334.5
158.25007320443575,157.9855501753023,157.4423471100808,172.6826894921371,181.63934001804407,335.0
172.7835454472778,156.13948642691557,158.95193152358877,166.0191688270159,155.105867775202,335.5
157.27897285383114,159.49513458881026,153.2356233797381,168.07696812580662,191.91330105181387,336.0
161.73075796854832,148.39427863366953,161.1250366022179,187.16337425624965,176.58655253931457,336.5
174.95193152358874,170.9855501753023,162.93276269657284,180.1297556045361,180.0,337.0
181.84134474606853,159.9038630471775,153.61545218870995,179.93748169889105,197.70185831915296,337.5
144.5384840629033,146.90386304717748,154.7643766202619,146.91831287187517,150.87496339778212,338.0
185.81716409899136,143.851075568448,142.4278972853831,158.73075796854835,174.17310507862913,338.5
163.17310507862913,157.47596576179436,161.75965761794373,181.60572136633047,179.9855501753023,339.0
149.8702443954639,152.26924203145165,165.84134474606853,176.82689492137087,170.19227390564504,339.5
154.38955963135132,172.29312986078577,156.8799752178434,192.87968240010034,182.55765288991918,340.0
165.15865525393144,174.447066112399,164.28369185614935,163.35092915957648,155.7596576179437,340.5
161.31731050786289,154.26924203145165,155.37982880897187,166.09613695282252,168.93748169889105,341.0
169.57682171693511,142.91831287187517,136.15393625161326,165.62489019334635,160.72603896623016,341.5
162.69242031451657,172.701858319153,169.8702443954639,184.04806847641123,189.6874084944553,342.0
156.49513458881026,130.74048879092783,149.3173105078629,173.54320306522152,167.90386304717748,342.5
173.88941322247982,159.49041558649205,160.1105867775202,170.26924203145165,182.24034238205627,343.0
181.19227390564504,177.86051357308443,152.69242031451654,167.2258925573586,167.02889964939536,343.5
146.13476742459738,155.05278747872947,141.61545218870995,155.39427863366953,180.8027142742937,344.0
154.68268949213711,141.2356233797381,157.29814168084704,194.4517851147172,175.3317603325606,344.5
175.1297556045361,166.0914179505043,181.71630814385065,183.66823966743942,172.39427863366956,345.0
166.6635206651212,165.09613695282252,165.96638134828643,180.8894132224798,187.38454781129005,345.5
145.36065998195596,151.9085820494957,145.05779929879074,172.4806847641126,167.19227390564504,346.0
142.2211735550404,137.64907084042352,147.19227390564504,147.64907084042352,154.28841085846756,346.5
165.0047190023182,140.0914179505043,144.28369185614935,166.27396103376987,161.34621015725827,347.0
174.57210271461688,160.49041558649208,159.84134474606853,165.49041558649205,180.60572136633044,347.5
170.52403423820564,166.0,164.0144498246977,172.4615159370967,173.0,348.0
168.9085820494957,154.07696812580662,156.0144498246977,168.86051357308443,161.13948642691557,348.5
150.0144498246977,149.4951345888103,136.5337650605851,161.3220295101811,157.63462101572583,349.0
153.49041558649208,143.6826894921371,145.04334947409308,176.1153057798384,174.66823966743942,349.5
159.15865525393144,144.6826894921371,144.0722491234884,190.07195630574535,177.01444982469766,350.0
150.40872845836722,159.148924431552,139.56266470998048,173.03833765403175,164.84134474606856,350.5
159.192273905645,151.06251830110895,154.18755490332683,174.73547697086653,159.82217591905265,351.0
165.60572136633044,145.69713931683475,137.39427863366953,152.93748169889105,164.36537898427417,351.5
159.1297556045361,147.72603896623013,163.24034238205627,165.09613695282252,157.80772609435496,352.0
169.36065998195596,175.1153057798384,166.59628336169408,199.78354544727782,192.14420542923375,352.5
165.6874084944553,146.60100236401226,145.25007320443578,170.3556481618947,156.105867775202,353.0
176.47596576179438,156.57210271461688,142.4231782830649,172.19227390564504,190.3364793348788,353.5
134.12503660221788,148.52403423820562,167.69713931683475,183.086406130443,145.5673837122987,354.0
172.83161392368908,139.36065998195596,139.50486541118974,167.16337425624965,166.13948642691557,354.5
160.47596576179438,153.4278972853831,157.60100236401226,176.3364793348788,171.15865525393147,355.0
189.26423021139038,157.80300709203675,160.6682396674394,159.6682396674394,155.59628336169405,355.5
153.05278747872947,130.45207793246027,159.94220070120926,156.26924203145168,150.28369185614935,356.0
176.40371663830595,150.83662574375032,153.3173105078629,161.92303187419336,158.51931523588743,356.5
162.41816646300362,133.83662574375035,135.84134474606856,145.8894132224798,154.0144498246977,357.0
158.02889964939536,144.36537898427417,138.7596576179437,156.96638134828643,182.8796824001003,357.5
157.4423471100808,155.09613695282252,153.4423471100808,167.09613695282252,171.92303187419338,358.0
157.92303187419338,147.14420542923378,132.00973082237948,157.78354544727782,151.13948642691557,358.5
170.84134474606853,157.66823966743937,141.105867775202,164.5576528899192,176.82689492137087,359.0
155.1105867775202,144.2211735550404,149.2356233797381,172.4951345888103,170.93748169889108,359.5
163.29312986078577,131.69242031451657,136.7788264449596,143.25479220675396,146.98083117298413,360.0
152.44234711008082,147.58655253931457,157.64907084042352,178.97110035060462,174.3509291595765,360.5
130.851075568448,139.87496339778212,147.33176033256058,162.93748169889108,163.00471900231818,361.0
175.87968240010034,147.02889964939538,141.105867775202,173.45178511471724,162.5337650605851,361.5
166.06723730342713,142.21645455272218,157.1297556045361,161.06251830110895,167.52403423820562,362.0
154.552933887601,132.49041558649205,134.64907084042352,159.64907084042352,187.6585088450599,362.5
166.27396103376987,134.8655253931457,159.50958441350795,180.08168712812483,177.26924203145165,363.0
168.10085595514073,151.0914179505043,155.73075796854835,158.71630814385065,151.36065998195596,363.5
150.84134474606856,129.49041558649205,132.83662574375035,171.52875324052383,172.30286068316522,364.0
170.65378984274173,156.82217591905265,166.63462101572583,179.3364793348788,169.552933887601,364.5
157.37009798659238,147.7741074426414,155.447066112399,146.36537898427417,138.04334947409305,365.0
158.69713931683475,161.9855501753023,162.61545218870995,182.37009798659236,167.3317603325606,365.5
179.2067237303427,161.44234711008082,166.4423471100808,190.24034238205627,194.6682396674394,366.0
159.85579457076625,147.6826894921371,144.45679693477848,169.03361865171357,177.97110035060462,366.5
175.9085820494957,153.28369185614935,144.80772609435496,156.20672373034273,168.79327626965727,367.0
162.69713931683475,154.33176033256058,164.11058677752018,179.62017119102813,181.2403423820563,367.5
182.7835454472778,168.74520779324604,153.0144498246977,150.73075796854835,154.72603896623013,368.0
159.81244509667317,126.37510980665365,140.95193152358874,168.0336186517136,175.82689492137087,368.5
169.807726094355,181.701858319153,169.80772609435496,166.84134474606856,166.84134474606853,369.0
175.2211735550404,172.70185831915296,152.58183353699636,170.39899763598774,178.09613695282252,369.5
154.71158914153247,136.71158914153244,152.64907084042352,185.5576528899192,192.37009798659236,370.0
172.41344746068543,161.85579457076622,164.5384840629033,177.66823966743942,178.52403423820564,370.5
184.11058677752018,163.15865525393147,149.8702443954639,166.75965761794373,198.10085595514073,371.0
153.26924203145165,141.06251830110892,140.26924203145165,149.85579457076622,165.54320306522152,371.5
154.09613695282252,146.58655253931457,151.45679693477848,177.148924431552,160.71158914153247,372.0
159.2356233797381,176.79799527197548,166.18755490332683,168.08168712812483,157.69713931683478,372.5
156.93748169889105,151.69713931683478,156.15865525393147,161.4615159370967,157.745207793246,373.0
162.6346210157258,156.30286068316522,144.71158914153244,154.6826894921371,165.6682396674394,373.5
151.39427863366953,140.6826894921371,140.50486541118974,165.30286068316525,176.1153057798384,374.0
157.63462101572586,141.0144498246977,144.02889964939538,170.60572136633047,175.71630814385065,374.5
169.29814168084704,167.28841085846756,157.20200472802452,178.30286068316525,188.9085820494957,375.0
167.1297556045361,143.98083117298413,148.96638134828643,171.81244509667317,173.1105867775202,375.5
149.0144498246977,144.25479220675396,143.8846942201616,170.48068476411257,164.36537898427417,376.0
160.74520779324604,157.93748169889105,156.5673837122987,180.0047190023182,170.745207793246,376.5
168.47596576179438,154.92303187419336,134.1203175998997,162.81244509667317,175.66823966743942,377.0
191.59127154163275,155.72603896623013,153.60100236401226,178.25479220675396,196.82689492137084,377.5
159.60572136633044,146.39427863366953,151.95193152358874,162.55765288991918,158.49041558649205,378.0
153.28841085846756,138.49041558649208,141.72603896623013,171.40371663830595,155.0914179505043,378.5
151.71630814385065,128.7741074426414,138.96638134828643,166.2258925573586,164.3173105078629,379.0
161.5384840629033,167.95193152358874,179.09613695282252,180.14420542923375,168.26924203145165,379.5
167.57682171693511,148.0914179505043,158.82217591905265,188.595990543951,160.91359386955696,380.0
162.5384840629033,151.64907084042352,163.91831287187517,192.27396103376984,185.62017119102816,380.5
157.3173105078629,147.4423471100808,156.04806847641126,165.0,169.192273905645,381.0
166.93748169889105,149.6826894921371,137.0914179505043,156.77882644495963,171.50958441350792,381.5
144.23562337973806,163.0,180.17782408094735,167.84134474606856,149.74520779324604,382.0
170.6537898427417,146.93276269657284,158.45679693477848,195.08640613044304,180.8702443954639,382.5
151.0,141.49041558649205,148.58655253931457,162.6682396674394,162.25479220675396,383.0
166.78354544727782,154.4231782830649,172.17782408094735,167.71630814385068,149.8991440448593,383.5
160.9855501753023,162.2211735550404,166.6682396674394,159.15865525393144,152.96638134828643,384.0
162.14420542923378,152.3173105078629,143.06251830110892,145.37982880897184,158.0961369528225,384.5
157.2211735550404,155.14420542923378,148.07696812580662,158.25479220675396,163.30286068316522,385.0
173.10085595514073,146.1203175998997,165.4615159370967,180.86051357308443,170.45679693477848,385.5
165.95665052590695,131.1203175998997,143.2403423820563,153.12503660221788,171.5576528899192,386.0
164.80772609435496,156.08168712812483,137.45679693477848,149.64907084042352,175.00471900231818,386.5
167.43261628770134,150.85579457076622,144.3462101572583,160.38454781129008,156.9808311729841,387.0
