Time,Photons Emitted,Dark Molecule,Active Molecule,Triplet Molecule,Bleached Molecule
310.0,164,1,0,78,21
310.5,163,1,0,78,21
311.0,163,1,0,78,21
311.5,203,1,0,78,21
312.0,155,1,0,78,21
312.5,187,1,0,78,21
313.0,162,1,0,78,21
313.5,150,1,0,78,21
314.0,157,1,0,78,21
314.5,160,1,0,78,21
315.0,165,1,0,78,21
315.5,145,1,0,78,21
316.0,176,1,0,78,21
316.5,161,1,0,78,21
317.0,181,1,0,78,21
317.5,138,1,0,78,21
318.0,146,1,0,78,21
318.5,171,1,0,78,21
319.0,197,1,0,78,21
319.5,136,1,0,78,21
320.0,158,1,0,78,21
320.5,173,1,0,78,21
321.0,164,1,0,77,22
321.5,147,1,0,77,22
322.0,152,1,0,77,22
322.5,182,1,0,77,22
323.0,128,1,0,77,22
323.5,149,1,0,77,22
324.0,185,1,0,77,22
324.5,165,1,0,77,22
325.0,163,1,0,77,22
325.5,149,1,0,77,22
326.0,141,1,0,77,22
326.5,152,1,0,77,22
327.0,179,1,0,77,22
327.5,155,1,0,77,22
328.0,174,1,0,77,22
328.5,145,1,0,77,22
329.0,140,1,0,77,22
329.5,172,1,0,77,22
330.0,163,1,0,77,22
330.5,164,1,0,77,22
331.0,169,1,0,77,22
331.5,156,1,0,77,22
332.0,136,1,0,77,22
332.5,185,1,0,77,22
333.0,139,1,0,77,22
333.5,152,1,0,77,22
334.0,146,1,0,77,22
334.5,155,1,0,77,22
335.0,153,1,0,77,22
335.5,158,1,0,77,22
336.0,148,1,0,77,22
336.5,157,1,0,76,23
337.0,155,1,0,76,23
337.5,146,1,0,75,24
338.0,160,1,0,75,24
338.5,141,1,0,75,24
339.0,157,1,0,74,25
339.5,166,1,0,74,25
340.0,138,1,0,74,25
340.5,160,1,0,74,25
341.0,153,1,0,74,25
341.5,126,1,0,74,25
342.0,164,1,0,74,25
342.5,149,1,0,74,25
343.0,159,1,0,74,25
343.5,140,1,0,74,25
344.0,134,1,0,74,25
344.5,150,1,0,74,25
345.0,186,1,0,74,25
345.5,162,1,0,74,25
346.0,133,1,0,74,25
346.5,151,1,0,74,25
347.0,140,1,0,74,25
347.5,160,1,0,74,25
348.0,161,1,0,74,25
348.5,153,1,0,74,25
349.0,124,1,0,74,25
349.5,136,1,0,74,25
350.0,129,1,0,74,25
350.5,121,1,0,74,25
351.0,148,1,0,74,25
351.5,132,1,0,74,25
352.0,168,1,0,74,25
352.5,152,1,0,74,25
353.0,137,1,0,74,25
353.5,131,1,0,74,25
354.0,165,1,0,74,25
354.5,133,1,0,74,25
355.0,153,1,0,74,25
355.5,164,1,0,74,25
356.0,172,1,0,74,25
356.5,153,1,0,74,25
357.0,136,1,0,74,25
357.5,134,1,0,74,25
358.0,149,1,0,74,25
358.5,119,1,0,74,25
359.0,130,1,0,74,25
359.5,144,1,0,74,25
360.0,139,1,0,74,25
360.5,154,1,0,74,25
361.0,144,1,0,74,25
361.5,130,1,0,74,25
362.0,163,1,0,74,25
362.5,131,1,0,74,25
363.0,163,1,0,74,25
363.5,157,1,0,74,25
364.0,123,1,0,74,25
364.5,166,1,0,74,25
365.0,161,1,0,74,25
365.5,155,1,0,74,25
366.0,162,1,0,74,25
366.5,137,1,0,74,25
367.0,141,1,0,74,25
367.5,163,1,0,74,25
368.0,150,1,0,74,25
368.5,140,1,0,74,25
369.0,166,1,0,74,25
369.5,141,1,0,74,25
370.0,149,1,0,74,25
370.5,162,1,0,74,25
371.0,144,1,0,74,25
371.5,139,1,0,74,25
372.0,144,1,0,74,25
372.5,160,1,0,74,25
373.0,156,1,0,74,25
373.5,139,1,0,74,25
374.0,134,1,0,74,25
374.5,138,1,0,74,25
375.0,148,1,0,74,25
375.5,145,1,0,74,25
376.0,135,1,0,74,25
376.5,148,1,0,74,25
377.0,120,1,0,74,25
377.5,149,1,0,74,25
378.0,151,1,0,74,25
378.5,133,1,0,74,25
379.0,135,1,0,74,25
379.5,181,1,0,74,25
380.0,152,1,0,74,25
380.5,159,1,0,74,25
381.0,157,1,0,74,25
381.5,129,1,0,74,25
382.0,187,1,0,74,25
382.5,151,1,0,74,25
383.0,147,1,0,74,25
383.5,179,1,0,74,25
384.0,170,1,0,74,25
384.5,141,1,0,74,25
385.0,143,1,0,74,25
385.5,168,1,0,74,25
386.0,148,1,0,74,25
386.5,130,1,0,74,25
387.0,138,1,0,74,25
387.5,131,1,0,74,25
388.0,154,1,0,74,25
388.5,144,1,0,74,25
389.0,140,1,0,74,25
389.5,171,1,0,74,25
390.0,154,1,0,74,25
390.5,133,1,0,74,25
391.0,138,1,0,74,25
391.5,135,1,0,74,25
392.0,144,1,0,74,25
392.5,144,1,0,74,25
393.0,149,1,0,74,25
393.5,128,1,0,74,25
394.0,148,1,0,74,25
394.5,150,1,0,74,25
395.0,125,1,0,74,25
395.5,132,1,0,74,25
396.0,157,1,0,74,25
396.5,184,1,0,74,25
397.0,141,1,0,74,25
397.5,150,1,0,74,25
398.0,156,1,0,74,25
398.5,167,1,0,74,25
399.0,156,1,0,74,25
399.5,172,1,0,74,25
400.0,144,1,0,74,25
400.5,161,1,0,74,25
401.0,148,1,0,74,25
401.5,160,1,0,74,25
402.0,150,1,0,74,25
